claim,source,date,label
Says U.S. Rep. Alexandria Ocasio-Cortez’s family “must have just overlooked” “cashing her dead grandmother’s Social Security checks for a decade and a half.”,Viral image,"By Ciara O'Rourke • April 4, 2025",True
Conservative activist Laura Loomer’s reporting proves “Alex Wong is the individual who added (journalist) Jeffrey Goldberg” to the Trump administration Signal group text about bombing Yemen.,Facebook posts,"By Madison Czopek • April 4, 2025",True
Video shows “how Denmark reacted when Trump said he wanted to buy Greenland.”,Viral image,"By Ciara O'Rourke • April 4, 2025",True
"“Daughter of boxing legend, Muhammed Ali, Laila Ali, has lost her life while giving birth in a Canadian hospital.”",Facebook posts,"By Ciara O'Rourke • April 4, 2025",True
"Says President Donald Trump wrote on Truth Social, “I am ending dual citizenship under the Espionage Act and all these traitors will be ‘denaturalized and deported.’”",Viral image,"By Ciara O'Rourke • April 4, 2025",True
Photo shows a missing police officer in “extreme danger.”,Facebook posts,"By Ciara O'Rourke • April 4, 2025",True
“Egg prices came down 50%”,Donald Trump,"By Louis Jacobson • April 4, 2025",True
"""The consumer confidence in this country has gone way down.""",Cory Booker,"By Louis Jacobson • April 3, 2025",True
Images show damage from an “earthquake in Thailand.”,Facebook posts,"By Ciara O'Rourke • April 3, 2025",True
El presidente Donald Trump aprobó una nueva ley “que exige la implantación obligatoria de un chip en todos los extranjeros”.,TikTok posts,"By Maria Briceño • April 3, 2025",True
“Seven counties in Wisconsin (ran) out of ballots” and it was “intentional” to diminish Republican voter turnout.,X posts,"By Amy Sherman • April 2, 2025",True
"“Elon Musk called for a boycott of ‘The View,’ labeling it ‘a meeting place for ignorant women.’”",Facebook posts,"By Ciara O'Rourke • April 2, 2025",True
“Man gets plastic surgery and name change to date his ex-girlfriend after she obtains a restraining order.”,Viral image,"By Ciara O'Rourke • April 2, 2025",True
Kilmar Armado Abrego-Garcia “was a convicted MS-13 gang member.”,JD Vance,"By Louis Jacobson • April 2, 2025",True
President Donald Trump “just suggested replacing pride month with veterans month in honor of those who served.”,Facebook posts,"By Grace Abels • April 2, 2025",True
Says U.S. Rep. Majorie Taylor Green wrote on X that she is “a product of incest.”,Viral image,"By Ciara O'Rourke • April 2, 2025",True
Screenshots show Speaker Mike Johnson messaging on Grindr.,TikTok posts,"By Grace Abels • April 1, 2025",True
Video shows “France and Denmark are sending troops to Greenland to prepare for (an) attack from Donald Trump.”,Facebook posts,"By Madison Czopek • April 1, 2025",True
"On PBS, ""they now have drag queen storytime instead of good old ‘Sesame Street.’""",Marjorie Taylor Greene,"By Grace Abels • April 1, 2025",True
Elon Musk funded a Neuralink implant procedure for a 7-year-old girl “who was diagnosed with a rare neurological disorder.”,Facebook posts,"By Loreben Tuquero • April 1, 2025",True
"If you update your iPhone to iOS 18.3, you are going to have Starlink automatically installed in your phone.",TikTok posts,"By Maria Briceño • March 31, 2025",True
“Hillary Clinton was sending classified documents that were stamped TS or TSSCI.”,Markwayne Mullin,"By Madison Czopek • March 28, 2025",True
Image shows a “person dressed up as Pikachu to resist police violence” in Turkey.,Social Media,"By Loreben Tuquero • March 28, 2025",True
"North Carolina “always had nonpartisan judicial races, and when the Republicans took over several years ago they changed it.”",Sydney Batch,"By Paul Specht • March 28, 2025",True
Videos show tornadoes hitting Seattle on March 26 and 27.,TikTok posts,"By Jeff Cercone • March 28, 2025",True
“We have automobile plants being built at levels we've never seen … and they're going up fast.”,Donald Trump,"By Louis Jacobson • March 28, 2025",True
Phoenix’s increased wildfire risk is linked to Bill Gates’ “smart city” plans.,Facebook posts,"By Loreben Tuquero • March 28, 2025",True
“Canada makes bold decision to shut down Tesla and the US auto industry.”,Facebook posts,"By Maria Briceño • March 28, 2025",True
"“Elon Musk exposes hidden $20K roof grant. Congress approved it.""",Facebook posts,"By Jeff Cercone • March 28, 2025",True
"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",Susan Crawford,"By D.L. Davis • March 28, 2025",True
Video shows the Bitcoin whitepaper “was spotted at the White House.”,Facebook posts,"By Loreben Tuquero • March 27, 2025",True
“El nuevo presidente ha aprobado el Programa Nacional de Alivio de Deuda 2025 para todos los hispanoamericanos”.,Facebook posts,"By Maria Briceño • March 27, 2025",True
Imagen muestra a “uno de los manifestantes que participó en el vandalismo contra un concesionario de Tesla. La deportación a El Salvador fue consecuencia de sus acciones”.,Facebook posts,"By Maria Briceño • March 27, 2025",True
People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.,TikTok posts,"By Claire Cranford • March 27, 2025",True
Elon Musk said “Tesla is finished” and needs “drastic changes immediately.”,Facebook posts,"By Claire Cranford • March 26, 2025",True
"""Nobody was texting war plans"" in the Trump administration Signal group text about bombing Yemen.",Pete Hegseth,"By Grace Abels • March 26, 2025",True
“El presidente Donald Trump anunció una nueva ley que prohíbe a los inmigrantes hablar español en público en los Estados Unidos”.,TikTok posts,"By Maria Briceño • March 25, 2025",True
“La medida audaz de Canadá: Tesla y la industria automotriz estadounidense cierran”.,Facebook posts,"By Maria Briceño • March 25, 2025",True
Defense Secretary Pete Hegseth “removed Colin Powell’s name from a list of notable Americans buried at Arlington National Cemetery.”,X posts,"By Madison Czopek • March 25, 2025",True
"“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",Nick LaLota,"By Julie Appleby • March 25, 2025",True
Video shows “leaked audio” of Vice President JD Vance criticizing Elon Musk and saying “he's making us look bad.”,X posts,"By Grace Abels • March 24, 2025",True
El presidente Donald Trump “firma orden ejecutiva para obligar a los bancos a que les quiten un 10% de dinero” de sus ahorros a los inmigrantes.,Facebook posts,"By Maria Briceño • March 21, 2025",True
"Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",Ian Miles Cheong,"By Jeff Cercone • March 21, 2025",True
“Nueva ley en EE.UU. impone cadena perpetua a inmigrantes que residen ilegalmente en el país”.,Facebook posts,"By Maria Briceño • March 21, 2025",True
The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,Harriet Hageman,"By Louis Jacobson • March 20, 2025",True
Files reveal that John F. Kennedy Jr. wrote a 1994 letter calling then-Sen. Joe Biden “a traitor” before Kennedy’s 1999 death.,Facebook posts,"By Madison Czopek • March 20, 2025",True
Says Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,Facebook posts,"By Amy Sherman • March 20, 2025",True
“Social Security is the biggest Ponzi scheme of all time.”,Elon Musk,"By Louis Jacobson • March 19, 2025",True
"President Donald Trump wrote on Truth Social that, “After I’ve annexed Greenland and making it the 52nd State, I will annexe Alaska.”",Threads posts,"By Madison Czopek • March 19, 2025",True
"“A lot of studies” show that getting measles ""boosts your immune system later in life against cancers, atopic diseases, cardiac disease.""",Robert F. Kennedy Jr.,"By Jeff Cercone • March 19, 2025",True
"A $600,000 federal grant went to study “menstrual cycles in transgender men.”",Brooke Rollins,"By Grace Abels • March 19, 2025",True
“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,Ro Khanna,"By Suz Redfearn • March 18, 2025",True
"Former President Joe Biden’s pardons of lawmakers on the committee investigating the Jan. 6, 2021,  U.S. Capitol attack “are hereby declared void, vacant, and of no further force or effect,” because “they were done by autopen.”",Donald Trump,"By Louis Jacobson • March 17, 2025",True
"DOGE found former first lady Michelle Obama “has been receiving a monthly $122,000 payment from the (General Services Administration) since 2009.”",Facebook posts,"By Loreben Tuquero • March 17, 2025",True
Elon Musk “launches a public campaign to terminate ‘The View.’”,Facebook posts,"By Grace Abels • March 17, 2025",True
Deceased InfoWars reporter Jamie White was on a “Ukrainian enemies hit list.”,Alex Jones,"By Sara Swann • March 14, 2025",True
The Department of Government Efficiency “found a $6 million grant awarded to Whoopi Goldberg to ‘promote diversity on The View.’”,Facebook posts,"By Madison Czopek • March 14, 2025",True
Girl Scout cookies are “toxic” because a study showed they contain glyphosate and heavy metals.,Social Media,"By Sara Swann • March 14, 2025",True
Video shows “Stacey Abrams admits the $2 billion Joe Biden’s EPA gave her was used to buy votes of people in Georgia by purchasing them new appliances.”,Facebook posts,"By Loreben Tuquero • March 14, 2025",True
“Tariffs are a tax cut for the American people.”,Karoline Leavitt,"By Louis Jacobson • March 13, 2025",True
“Eliminate school choice” is on Susan Crawford’s agenda.,Brad Schimel,"By Madeline Heim • March 13, 2025",True
"“Under the previous administration … the cost of a median-price home in America more than doubled, and that was just in four years.”",JD Vance,"By Louis Jacobson • March 12, 2025",True
“The number of full-time jobs (was) dropping almost the entire Biden administration.”,Rick Scott,"By Louis Jacobson • March 11, 2025",True
"During President Joe Biden’s four years in office, “31% of U.S. job growth” came from public-sector jobs.",X posts,"By Louis Jacobson • March 11, 2025",True
El 3 de marzo del 2025 falleció el presidente Donald Trump en un accidente de helicóptero.,Facebook posts,"By Maria Briceño • March 11, 2025",True
"""All armed services are having among the best recruiting results ever” because of Trump policies, and “it was just a few months ago where the results were exactly the opposite.”",Donald Trump,"By Amy Sherman • March 11, 2025",True
“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,A Better Wisconsin Together,"By Hope Karnopp • March 11, 2025",True
Photo shows first lady Melania Trump crying.,Facebook posts,"By Jeff Cercone • March 10, 2025",True
Video shows President Donald Trump admitting he became president because of a “rigged” 2024 election.,Social Media,"By Jeff Cercone • March 10, 2025",True
Audio shows a BBC reporter making a vulgar comment about an Oval Office meeting between President Donald Trump and Ukraine President Volodymyr Zelenskyy.,Social Media,"By Loreben Tuquero • March 10, 2025",True
"""Nueva orden ejecutiva desde la Casa Blanca tiene identificado a más de 47,000 cubanos con residencia legal los cuales serán puestos en proceso de deportación por haber viajado a Cuba después de su aprobación de asilo político"".",Facebook posts,"By Maria Briceño • March 10, 2025",True
"Myrtle Beach, South Carolina, area fires were intentional to build a “smart city.”",Social Media,"By Loreben Tuquero • March 10, 2025",True
"A partir del 28 de febrero “para comprar en supermercados pedirán tu identificación, pero no es por seguridad, es para cazar inmigrantes ilegales”.",TikTok posts,"By Maria Briceño • March 10, 2025",True
"""Apple quietly removed International Women’s Day from their calendar app.”",Social Media,"By Jeff Cercone • March 7, 2025",True
U.S. Agency for International Development subsidized CNN and MSNBC hosts’ salaries.,Laura Loomer,"By Sofia Ahmed • March 7, 2025",True
U.S. Rep. Nancy Pelosi’s vineyard received $14 million in U.S. Agency for International Development funds for “experimental farming.”,Social Media,"By Claire Cranford • March 7, 2025",True
Elon Musk’s Department of Government Efficiency is “polling very well. It’s very popular.”,Larry Kudlow,"By Louis Jacobson • March 6, 2025",True
“DOGE stopped an annual payment to Barack Obama for $2.6 million for ‘royalties associated with Obamacare.’”,Social Media,"By Loreben Tuquero • March 5, 2025",True
The Trump administration identified $1.9 billion in federal dollars going to a “decarbonization of homes” group Stacey Abrams “headed up.”,Donald Trump,"By Madison Czopek • March 5, 2025",True
"President Donald Trump posted on X that “If the Dow drops 1,000 points in two days the President should be impeached immediately.”",X posts,"By Loreben Tuquero • March 5, 2025",True
Elon Musk posted on X that billionaires are “tired of subsidizing” public services.,Social Media,"By Claire Cranford • March 4, 2025",True
"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",Cavalier Johnson,"By D.L. Davis • March 3, 2025",True
"“DOGE discovers Louisiana man with 34 different names, addresses, and Social Security numbers. He was collecting $1,168,646 in (Social Security) per year.”",Facebook posts,"By Loreben Tuquero • February 28, 2025",True
“The Texas measles outbreak is pure propaganda” because media outlets used stock images.,Threads posts,"By Jeff Cercone • February 28, 2025",True
"Maine Gov. Janet Mills said, “If (President) Donald Trump stops federal funding to Maine, we the people of Maine will take out federal taxes from all paychecks and no taxes will be paid to the federal government.”",Social Media,"By Sara Swann • February 28, 2025",True
"A measles outbreak in Gaines County, Texas, was caused by “a public health initiative” to “distribute free measles vaccines.”",Facebook posts,"By Loreben Tuquero • February 28, 2025",True
“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,Joel Kitchens,"By Hope Karnopp • February 28, 2025",True
"Zero votes for 2024 Democratic presidential nominee Kamala Harris in Rockland County, New York, precinct proves Elon Musk hacked 2024 presidential election.",Social Media,"By Jeff Cercone • February 26, 2025",True
"Former President Joe Biden “fired” 14,000 Keystone XL pipeline workers “​​on day one” of his administration.",Facebook posts,"By Madison Czopek • February 26, 2025",True
“We've never audited government for 100 years.”,Kevin O'Leary,"By Louis Jacobson • February 26, 2025",True
"U.S. Secretary of Health and Human Services Robert F. Kennedy Jr. wrote on X, “In my first 6 months as HHS secretary … I’ll ban chemtrails.”",Viral image,"By Ciara O'Rourke • February 26, 2025",True
“Breaking News: Rep. Ilhan Omar has been removed from the House Foreign Affairs Committee.”,Instagram posts,"By Ciara O'Rourke • February 26, 2025",True
“La presidenta de México Claudia Sheinbaum PROHIBE la entrada al nuevo IPHONE de la empresa tecnológica.”,Facebook posts,"By Maria Briceño • February 26, 2025",True
Photos show Elon Musk in a fight during a science conference.,Facebook posts,"By Sofia Ahmed • February 26, 2025",True
“Stacey Abrams stole $2 BILLION from taxpayers.”,Facebook posts,"By Caleb McCullough • February 26, 2025",True
"“I am not making this up: Republicans have introduced legislation … to increase your bank fees.""",Pete Buttigieg,"By Caleb McCullough • February 26, 2025",True
"It’s “official” that President Donald Trump is signing an “order from Elon Musk giving taxpayers who have filed their 2024 tax returns a stimulus check for $5,000.”",Facebook posts,"By Sara Swann • February 26, 2025",True
“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,Patty Murray,"By Louis Jacobson • February 25, 2025",True
“Noticia de Ultima Hora! Su Santidad el Papa Francisco ha fallecido” el 24 de febrero del 2025.,Facebook posts,"By Maria Briceño • February 25, 2025",True
“Malia Obama received $2.2 million in funds from USAID.”,Instagram posts,"By Ciara O'Rourke • February 25, 2025",True
"Pope Francis died as of Feb. 23, 2025.",Facebook posts,"By Ciara O'Rourke • February 25, 2025",True
Ukraine President Volodymyr Zelenskyy “blocked Truth Social in Ukraine.”,Social Media,"By Claire Cranford • February 25, 2025",True
The Chicago Cubs owner is bankrolling Brad Schimel.,Social Media,"By Madeline Heim • February 25, 2025",True
Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.,Threads posts,"By Sofia Ahmed • February 24, 2025",True
"""The Philadelphia Eagles have declined their invitation to the White House,” as of Feb. 24.",Social Media,"By Jeff Cercone • February 24, 2025",True
Elon Musk “contracted a helicopter and the first DOGE payments are being” dispersed in California.,Facebook posts,"By Jeff Cercone • February 24, 2025",True
“Delta plane that crashed in Toronto operated by Endeavor Air with all-female flight crew.”,Instagram posts,"By Sofia Ahmed • February 21, 2025",True
"Says Luigi Mangione posted on X, “He who saves his country does not violate any law.”",Viral image,"By Ciara O'Rourke • February 21, 2025",True
“The media is showing how Obama’s birth certificate was changed! He was never born in the U.S. so he was never a real president!”,Facebook posts,"By Ciara O'Rourke • February 21, 2025",True
President Joe Biden’s immigration policy was “a giant voter importation scam.”,Elon Musk,"By Maria Ramirez Uribe • February 21, 2025",True
El congresista Adriano Espaillat muestra “La nueva bandera que están promoviendo para República Dominicana que se va a llamar 'DominicoHaiti'”.,Facebook posts,"By Maria Briceño • February 21, 2025",True
“US Debt Clock” numbers prove “DOGE has saved taxpayers $64 billion dollars in just 17 days.”,Social Media,"By Sara Swann • February 21, 2025",True
"Video shows White House Press Secretary Karoline Leavitt saying Americans can get $4,800 subsidy because Department of Government Efficiency cuts found “extra money.”",Facebook posts,"By Jeff Cercone • February 21, 2025",True
"Says Barron Trump posted on X, “We’re on the brink of uncovering a dark legacy in this country that’s been hidden for far too long.”",Instagram posts,"By Ciara O'Rourke • February 21, 2025",True
"Says Elon Musk said on X, “Spoiled crybabies across the country are protesting against America’s golden age. Brats like them should go to prison.”",Viral image,"By Ciara O'Rourke • February 21, 2025",True
“The very LIBERAL 9th Circuit Court has ruled that 84 of Biden's last-minute pardons are unconstitutional.”,Facebook posts,"By Ciara O'Rourke • February 21, 2025",True
Video shows Barron Trump singing on “America’s Got Talent.”,Facebook posts,"By Ciara O'Rourke • February 21, 2025",True
“You either have XX or XY chromosomes. Those are the options.”,Nancy Mace,"By Grace Abels • February 21, 2025",True
"A photo shows Jonathan Simpson, the pilot of “Delta’s crash in Toronto, Canada.”",Threads posts,"By Sofia Ahmed • February 20, 2025",True
“Elon Musk just ordered all federal workers to be tested for drugs and those that fail have 30 days to retest clean or be fired.”,Threads posts,"By Kwasi Gyamfi Asiedu • February 20, 2025",True
Volodymyr Zelenskyy “started” the war in Ukraine with Russia.,Donald Trump,"By Claire Cranford • February 19, 2025",True
“Barack and Michelle Obama locked in bombshell divorce of the century.”,Facebook posts,"By Jeff Cercone • February 19, 2025",True
“An ICE minivan was reportedly set on fire in Philadelphia.”,Social Media,"By Sofia Ahmed • February 19, 2025",True
"Mexican President Claudia Sheinbaum said, “I told President (Donald) Trump the best way to make rapists and criminals feel unwelcome in the U.S. is for their citizens to stop electing them.”",Facebook posts,"By Sara Swann • February 19, 2025",True
Michael Jordan said that “any athlete who kneels for our national anthem should lose their medal.”,Facebook posts,"By Claire Cranford • February 19, 2025",True
Video shows X owner Elon Musk promoted a “bedtime trick” to cure diabetes.,Facebook posts,"By Sofia Ahmed • February 19, 2025",True
Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,Susan Crawford,"By Hope Karnopp • February 19, 2025",True
“The NFL admits to canceling Elon's DOGE Super Bowl ads.”,Threads posts,"By Kwasi Gyamfi Asiedu • February 18, 2025",True
“DOGE subcommittee discovered $2.7 trillion in improper” Medicaid and Medicare payments to people overseas.,Social Media,"By Sofia Ahmed • February 18, 2025",True
"Rep. Nancy Pelosi has a $223,000 salary and a $202 million net worth. Sen. Mitch McConnell has a $200,000 salary and a $95 million net worth. Sen. Chuck Schumer has a $210,000 salary and a $75 million net worth. Sen. Elizabeth Warren has a $285,000 salary and a $67 million net worth.",X posts,"By Sara Swann • February 18, 2025",True
"The federal workforce grew from 2.1 to 3 million under President Joe Biden, “a 46% increase since Biden took office.”",X posts,"By Caleb McCullough • February 18, 2025",True
“Elon Musk announced that he will not sell Tesla Cybertruck to anyone belonging to the ‘pride’ community.”,Facebook posts,"By Grace Abels • February 17, 2025",True
"“Mel Gibson passes on $100 million Netflix deal to work with Robert De Niro, declares: ‘Keep that woke clown away from me.’”",Facebook posts,"By Loreben Tuquero • February 17, 2025",True
"Under the SAVE Act, “if you are a woman that has changed your name from your birth certificate, let’s say through marriage … you are no longer eligible to vote.”",TikTok posts,"By Caleb McCullough • February 17, 2025",True
“FEMA sent $59M LAST WEEK to luxury hotels in New York City to house illegal migrants… That money is meant for American disaster relief.”,Elon Musk,"By Maria Ramirez Uribe • February 14, 2025",True
An episode of “The Simpsons” showed a President Donald Trump-like character in a coffin and predicted Feb. 14 would be the “day everything changes.”,Facebook posts,"By Sofia Ahmed • February 14, 2025",True
Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.,Mario Nawfal,"By Loreben Tuquero • February 14, 2025",True
Pennsylvania Gov. Josh Shapiro is “being charged with the attempted assassination of Trump.”,Social Media,"By Jeff Cercone • February 14, 2025",True
"President Donald Trump said he “‘didn’t have time’ to meet the families of the men, women and children who tragically died in the plane crash.”",Threads posts,"By Kwasi Gyamfi Asiedu • February 14, 2025",True
Photo shows National Intelligence Director Tulsi Gabbard and President Donald Trump at her swearing-in.,Viral image,"By Ciara O'Rourke • February 14, 2025",True
"The United States is “last in education out of 40 states … but we're number one in cost per pupil.""",Donald Trump,"By Caleb McCullough • February 13, 2025",True
Elon Musk spent $40 million to buy five Super Bowl Commercial ads to promote DOGE.,Facebook posts,"By Sofia Ahmed • February 13, 2025",True
Coca-Cola “sells out its own workers to ICE.”,Instagram posts,"By Maria Briceño • February 13, 2025",True
Video shows a sinkhole opened in New York City in February 2025.,Instagram posts,"By Sara Swann • February 13, 2025",True
Video shows celebrities wearing T-shirts with graphics of a middle finger and the word “Kanye.”,Viral image,"By Ciara O'Rourke • February 13, 2025",True
"Says Kash Patel said, “FBI investigation uncovers 256 emails between Adam Schiff and Jeffrey Epstein.”",Instagram posts,"By Ciara O'Rourke • February 12, 2025",True
Photo shows Mexican President Claudia Sheinbaum wearing a “Make America Mexicana Again” hat.,Viral image,"By Ciara O'Rourke • February 12, 2025",True
"Says Mexican President Claudia Sheinbaum told President Donald Trump, “They will beg us to tear down this ugly wall.”",Facebook posts,"By Ciara O'Rourke • February 12, 2025",True
"Bill Gates said, “Defunding USAID will bring about another mystery illness across the world.”",Social Media,"By Sofia Ahmed • February 12, 2025",True
“JAG arrests … USDA Inspector General Phyllis Fong.”,Facebook posts,"By Ciara O'Rourke • February 11, 2025",True
Video shows President Donald Trump was “booed at the Super Bowl.”,Viral image,"By Ciara O'Rourke • February 11, 2025",True
"Says U.S. Sen. Elizabeth Warren said, “There is nothing in the Constitution that says ordinary citizens have a right to see what we spend our tax dollars on.”",Instagram posts,"By Ciara O'Rourke • February 11, 2025",True
Photo shows someone raising two middle fingers at President Donald Trump at the 2025 Super Bowl.,Viral image,"By Ciara O'Rourke • February 11, 2025",True
President Donald Trump posted that “the Chiefs’ Super Bowl performance was a disaster” and “too focused on DEI nonsense.”,Threads posts,"By Claire Cranford • February 11, 2025",True
A ‘60 Minutes’ clip shows Kamala Harris lying while cameras roll. “,Instagram posts,"By Sofia Ahmed • February 11, 2025",True
Ring is “alerting people about (Immigration and Customs Enforcement) raids.”,Instagram posts,"By Caleb McCullough • February 10, 2025",True
"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”",Tommy Tuberville,"By Madison Czopek • February 9, 2025",True
"At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”",Kristi Noem,"By Maria Ramirez Uribe • February 9, 2025",True
"“Elon Musk officially cancelled USAID and fired all the staff. In his words, ‘we just toppled one of the biggest globalist terror organizations in history.’”",Facebook posts,"By Sofia Ahmed • February 7, 2025",True
"CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”",Donald Trump,"By Sara Swann • February 7, 2025",True
The U.S. Army helicopter in the Jan. 29 plane collision was the same model of helicopter in the 2020 Kobe Bryant crash.,Instagram posts,"By Kwasi Gyamfi Asiedu • February 7, 2025",True
Recent plane crashes in the United States were “human sacrifice rituals” for the Super Bowl.,Instagram posts,"By Ciara O'Rourke • February 7, 2025",True
“Breaking news: Taylor Swift officially banned from Super Bowl 2025.”,Facebook posts,"By Loreben Tuquero • February 7, 2025",True
“Elon Musk says Italians should stay in Italy and the Japanese in Japan.”,Threads posts,"By Ciara O'Rourke • February 7, 2025",True
An image of a website error code shows the Trump administration “trolling” former Vice President Kamala Harris.,Viral image,"By Ciara O'Rourke • February 7, 2025",True
Graphic shows that the U.S. Agency for International Development paid Chelsea Clinton $84 million.,Social Media,"By Jeff Cercone • February 7, 2025",True
An E! News report said USAID paid millions of dollars to sponsor American celebrity visits to Ukraine.,Instagram posts,"By Sofia Ahmed • February 7, 2025",True
"""Empresa Coca-Cola le pide perdón a los inmigrantes y le envían un mensaje especial a todos los afectados"".",Facebook posts,"By Maria Briceño • February 7, 2025",True
Early reports of four survivors show “this DC plane crash story isn’t adding up.”,Facebook posts,"By Madison Czopek • February 7, 2025",True
On support for U.S. Agency for International Development,Marco Rubio,"By Claire Cranford • February 7, 2025",True
"Says Elon Musk said, the Pentagon was spending $600 million a year on sushi.",Facebook posts,"By Ciara O'Rourke • February 6, 2025",True
Video shows Robert Kennedy Jr. promoting a diabetes cure.,Facebook posts,"By Ciara O'Rourke • February 6, 2025",True
Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,Randy Fine,"By Samantha Putterman • February 6, 2025",True
Video shows Robert Kennedy Jr. promoting a diabetes cure.,Facebook posts,"By Ciara O'Rourke • February 6, 2025",True
Video shows President Donald Trump saying Mexicans call him “peachy cool arrow.”,Instagram posts,"By Loreben Tuquero • February 6, 2025",True
“Al patinador artístico estadounidense Jon Maravilla se le negó el embarque en el vuelo de American Airlines (hacía Washington D.C.) que posteriormente colisionó con un helicóptero”.,Threads posts,"By Maria Briceño • February 6, 2025",True
Federal websites updated with a nine-star flag that represents the Confederacy.,Social Media,"By Jeff Cercone • February 5, 2025",True
"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”",Brian Mast,"By Amy Sherman • February 5, 2025",True
"Video shows a missile crashed in a Philadelphia neighborhood Jan. 31, not a jet.",Instagram posts,"By Ciara O'Rourke • February 5, 2025",True
"“U.S. figure skater Jon Maravilla was reportedly prevented from boarding a doomed flight to Washington, D.C.”",Threads posts,"By Ciara O'Rourke • February 5, 2025",True
"“El gobernador de California le ha dejado las cosas bien claras a Donald Trump que si llega a deportar a los inmigrantes que viven en California el estado independizara de Estados Unidos y se unirá con México"".",Instagram posts,"By Maria Briceño • February 5, 2025",True
"Mexico’s President Claudia Sheinbaum said, “I’m confused. I keep hearing everyone from America saying that my country is sending felons and (rapists) into their country. We thought that was encouraged … considering that’s what they chose to be their president.”",Instagram posts,"By Maria Briceño • February 5, 2025",True
