ID,Headline,Description,Source,Category,Year,Fact-Check Label,Link
28,Breaking: Government bans policy,"This news article claims that a new policy has occurred, but experts have debunked it.",FakeTimes,Technology,2025,Fake,https://www.politifact.com/factchecks/9620/
29,Breaking: Celebrity introduces policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Politics,2025,Fake,https://www.politifact.com/factchecks/8245/
30,Breaking: Celebrity introduces product,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Health,2025,Mostly False,https://www.politifact.com/factchecks/3404/
31,Breaking: Government introduces law,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Mostly False,https://www.politifact.com/factchecks/1629/
32,Breaking: Company removes product,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Sports,2025,Fake,https://www.politifact.com/factchecks/5692/
33,Breaking: Company bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",Unknown Blog,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/9152/
34,Breaking: Celebrity introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/7822/
35,Breaking: Company removes policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Entertainment,2025,Mostly False,https://www.politifact.com/factchecks/4990/
36,Breaking: Company bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Fake,https://www.politifact.com/factchecks/2007/
37,Breaking: Government introduces policy,"This news article claims that a major event has occurred, but experts have debunked it.",MisinfoReport,Politics,2025,Fake,https://www.politifact.com/factchecks/7184/
38,Breaking: Government removes policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",ConspiracyNews2025.com,Sports,2025,Fake,https://www.politifact.com/factchecks/4655/
39,Breaking: Company removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Finance,2025,Fake,https://www.politifact.com/factchecks/1309/
40,Breaking: Company introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/8509/
41,Breaking: Company introduces product,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,Technology,2025,Pants on Fire,https://www.politifact.com/factchecks/3829/
42,Breaking: Company bans law,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Fake,https://www.politifact.com/factchecks/6694/
43,Breaking: Company removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,Health,2025,Mostly False,https://www.politifact.com/factchecks/9986/
44,Breaking: Celebrity introduces policy,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,World,2025,Pants on Fire,https://www.politifact.com/factchecks/7910/
45,Breaking: Company bans policy,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,World,2025,Mostly False,https://www.politifact.com/factchecks/2060/
46,Breaking: Celebrity removes product,"This news article claims that a major event has occurred, but experts have debunked it.",FalseDaily,Entertainment,2025,Fake,https://www.politifact.com/factchecks/2714/
47,Breaking: Celebrity introduces law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FakeTimes,Sports,2025,Fake,https://www.politifact.com/factchecks/3624/
48,Breaking: Company introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Health,2025,Fake,https://www.politifact.com/factchecks/7943/
49,Breaking: Government bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Technology,2025,Mostly False,https://www.politifact.com/factchecks/3663/
50,Breaking: Celebrity removes law,"This news article claims that a major event has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Fake,https://www.politifact.com/factchecks/2193/
51,Breaking: Company removes product,"This news article claims that a major event has occurred, but experts have debunked it.",AltRealityNews,Finance,2025,Fake,https://www.politifact.com/factchecks/1959/
52,Breaking: Government removes product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Technology,2025,Mostly False,https://www.politifact.com/factchecks/3389/
53,Breaking: Celebrity introduces product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/6868/
54,Breaking: Company introduces law,"This news article claims that a major event has occurred, but experts have debunked it.",AltRealityNews,World,2025,Mostly False,https://www.politifact.com/factchecks/2239/
55,Breaking: Company introduces policy,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Mostly False,https://www.politifact.com/factchecks/6441/
56,Breaking: Company removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",ConspiracyNews2025.com,Technology,2025,Pants on Fire,https://www.politifact.com/factchecks/1681/
57,Breaking: Celebrity introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Mostly False,https://www.politifact.com/factchecks/3098/
58,Breaking: Company removes policy,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/6575/
59,Breaking: Company bans product,"This news article claims that a major event has occurred, but experts have debunked it.",MisinfoReport,Climate,2025,Mostly False,https://www.politifact.com/factchecks/4494/
60,Breaking: Celebrity introduces product,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Politics,2025,Pants on Fire,https://www.politifact.com/factchecks/3625/
61,Breaking: Company bans product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FalseDaily,Technology,2025,Mostly False,https://www.politifact.com/factchecks/9917/
62,Breaking: Celebrity removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FalseDaily,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/2769/
63,Breaking: Celebrity removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Fake,https://www.politifact.com/factchecks/4811/
64,Breaking: Government removes product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Climate,2025,Fake,https://www.politifact.com/factchecks/4486/
65,Breaking: Government bans law,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Health,2025,Mostly False,https://www.politifact.com/factchecks/2219/
66,Breaking: Government removes product,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,World,2025,Mostly False,https://www.politifact.com/factchecks/6556/
67,Breaking: Company removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Politics,2025,Pants on Fire,https://www.politifact.com/factchecks/1435/
68,Breaking: Company removes law,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Sports,2025,Fake,https://www.politifact.com/factchecks/1344/
69,Breaking: Celebrity removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FalseDaily,Finance,2025,Fake,https://www.politifact.com/factchecks/9324/
70,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Mostly False,https://www.politifact.com/factchecks/2054/
71,Breaking: Celebrity introduces policy,"This news article claims that a new policy has occurred, but experts have debunked it.",ConspiracyNews2025.com,World,2025,Mostly False,https://www.politifact.com/factchecks/4052/
72,Breaking: Company introduces product,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Politics,2025,Fake,https://www.politifact.com/factchecks/7893/
73,Breaking: Company introduces law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",Unknown Blog,World,2025,Fake,https://www.politifact.com/factchecks/4665/
74,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Health,2025,Mostly False,https://www.politifact.com/factchecks/8259/
75,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/3214/
76,Breaking: Government bans law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",Unknown Blog,Politics,2025,Pants on Fire,https://www.politifact.com/factchecks/2312/
77,Breaking: Celebrity bans law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Sports,2025,Mostly False,https://www.politifact.com/factchecks/9046/
78,Breaking: Celebrity introduces law,"This news article claims that a new policy has occurred, but experts have debunked it.",FakeTimes,World,2025,Fake,https://www.politifact.com/factchecks/4088/
79,Breaking: Company bans policy,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Technology,2025,Mostly False,https://www.politifact.com/factchecks/8277/
80,Breaking: Celebrity bans law,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Entertainment,2025,Mostly False,https://www.politifact.com/factchecks/2386/
81,Breaking: Company introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Fake,https://www.politifact.com/factchecks/9202/
82,Breaking: Government removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Mostly False,https://www.politifact.com/factchecks/9648/
83,Breaking: Government removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Technology,2025,Fake,https://www.politifact.com/factchecks/3001/
84,Breaking: Government removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Mostly False,https://www.politifact.com/factchecks/2832/
85,Breaking: Celebrity bans law,"This news article claims that a major event has occurred, but experts have debunked it.",MisinfoReport,Entertainment,2025,Mostly False,https://www.politifact.com/factchecks/2253/
86,Breaking: Government bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Finance,2025,Mostly False,https://www.politifact.com/factchecks/7318/
87,Breaking: Celebrity bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Entertainment,2025,Pants on Fire,https://www.politifact.com/factchecks/4676/
88,Breaking: Government bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",ConspiracyNews2025.com,Entertainment,2025,Mostly False,https://www.politifact.com/factchecks/6966/
89,Breaking: Celebrity introduces law,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Politics,2025,Fake,https://www.politifact.com/factchecks/4274/
90,Breaking: Company removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Fake,https://www.politifact.com/factchecks/9579/
91,Breaking: Celebrity bans law,"This news article claims that a major event has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Mostly False,https://www.politifact.com/factchecks/9949/
92,Breaking: Government introduces product,"This news article claims that a new policy has occurred, but experts have debunked it.",Unknown Blog,Climate,2025,Mostly False,https://www.politifact.com/factchecks/5378/
93,Breaking: Government removes policy,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Climate,2025,Fake,https://www.politifact.com/factchecks/4807/
94,Breaking: Celebrity introduces product,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Entertainment,2025,Pants on Fire,https://www.politifact.com/factchecks/4169/
95,Breaking: Company removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Entertainment,2025,Pants on Fire,https://www.politifact.com/factchecks/3694/
96,Breaking: Company removes law,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Technology,2025,Fake,https://www.politifact.com/factchecks/8372/
97,Breaking: Celebrity introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/6522/
98,Breaking: Company removes product,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Finance,2025,Fake,https://www.politifact.com/factchecks/7349/
99,Breaking: Celebrity bans law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FalseDaily,Technology,2025,Mostly False,https://www.politifact.com/factchecks/4671/
100,Breaking: Government bans law,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Politics,2025,Fake,https://www.politifact.com/factchecks/9514/
101,Breaking: Government introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,World,2025,Fake,https://www.politifact.com/factchecks/9408/
102,Breaking: Government bans policy,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/8792/
103,Breaking: Government removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FalseDaily,World,2025,Fake,https://www.politifact.com/factchecks/6764/
104,Breaking: Government removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Finance,2025,Mostly False,https://www.politifact.com/factchecks/1447/
105,Breaking: Celebrity bans product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",Unknown Blog,Entertainment,2025,Mostly False,https://www.politifact.com/factchecks/2770/
106,Breaking: Celebrity bans law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Technology,2025,Fake,https://www.politifact.com/factchecks/2460/
107,Breaking: Government introduces policy,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,Technology,2025,Pants on Fire,https://www.politifact.com/factchecks/1111/
108,Breaking: Company bans law,"This news article claims that a new policy has occurred, but experts have debunked it.",Unknown Blog,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/8637/
109,Breaking: Government bans policy,"This news article claims that a major event has occurred, but experts have debunked it.",MisinfoReport,Finance,2025,Mostly False,https://www.politifact.com/factchecks/5002/
110,Breaking: Government introduces law,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/1968/
111,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FalseDaily,Finance,2025,Fake,https://www.politifact.com/factchecks/9732/
112,Breaking: Celebrity bans product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",Unknown Blog,Politics,2025,Pants on Fire,https://www.politifact.com/factchecks/6965/
113,Breaking: Company bans product,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Technology,2025,Mostly False,https://www.politifact.com/factchecks/8722/
114,Breaking: Celebrity bans law,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Finance,2025,Fake,https://www.politifact.com/factchecks/1627/
115,Breaking: Government bans product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Mostly False,https://www.politifact.com/factchecks/4890/
116,Breaking: Company bans law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",ConspiracyNews2025.com,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/9946/
117,Breaking: Company bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",FalseDaily,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/5314/
118,Breaking: Government removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,Finance,2025,Pants on Fire,https://www.politifact.com/factchecks/6194/
119,Breaking: Celebrity introduces policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,World,2025,Mostly False,https://www.politifact.com/factchecks/4751/
120,Breaking: Company removes product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Climate,2025,Fake,https://www.politifact.com/factchecks/4803/
121,Breaking: Company bans policy,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Entertainment,2025,Fake,https://www.politifact.com/factchecks/5366/
122,Breaking: Company removes product,"This news article claims that a new policy has occurred, but experts have debunked it.",ConspiracyNews2025.com,World,2025,Pants on Fire,https://www.politifact.com/factchecks/2838/
123,Breaking: Company removes law,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Technology,2025,Mostly False,https://www.politifact.com/factchecks/9214/
124,Breaking: Celebrity removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Politics,2025,Pants on Fire,https://www.politifact.com/factchecks/1422/
125,Breaking: Celebrity introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Climate,2025,Fake,https://www.politifact.com/factchecks/7397/
126,Breaking: Celebrity removes product,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Entertainment,2025,Fake,https://www.politifact.com/factchecks/7429/
127,Breaking: Government bans policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Fake,https://www.politifact.com/factchecks/2490/
128,Breaking: Company removes policy,"This news article claims that a new policy has occurred, but experts have debunked it.",Unknown Blog,Sports,2025,Mostly False,https://www.politifact.com/factchecks/2755/
129,Breaking: Company removes policy,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Finance,2025,Pants on Fire,https://www.politifact.com/factchecks/3450/
130,Breaking: Government removes policy,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Technology,2025,Pants on Fire,https://www.politifact.com/factchecks/1021/
131,Breaking: Company removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FalseDaily,Sports,2025,Fake,https://www.politifact.com/factchecks/2128/
132,Breaking: Company introduces policy,"This news article claims that a major event has occurred, but experts have debunked it.",FalseDaily,Climate,2025,Mostly False,https://www.politifact.com/factchecks/3013/
133,Breaking: Company removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,Technology,2025,Fake,https://www.politifact.com/factchecks/4956/
134,Breaking: Government introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Climate,2025,Mostly False,https://www.politifact.com/factchecks/2397/
135,Breaking: Government removes law,"This news article claims that a major event has occurred, but experts have debunked it.",MisinfoReport,Technology,2025,Mostly False,https://www.politifact.com/factchecks/6849/
136,Breaking: Celebrity introduces policy,"This news article claims that a new policy has occurred, but experts have debunked it.",MisinfoReport,Climate,2025,Fake,https://www.politifact.com/factchecks/3367/
137,Breaking: Celebrity removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Politics,2025,Fake,https://www.politifact.com/factchecks/1056/
138,Breaking: Government removes law,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Technology,2025,Fake,https://www.politifact.com/factchecks/4957/
139,Breaking: Celebrity removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/3739/
140,Breaking: Celebrity bans product,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Technology,2025,Fake,https://www.politifact.com/factchecks/9996/
141,Breaking: Company introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FalseDaily,Entertainment,2025,Fake,https://www.politifact.com/factchecks/9767/
142,Breaking: Celebrity bans law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",FakeTimes,Politics,2025,Mostly False,https://www.politifact.com/factchecks/1795/
143,Breaking: Company removes product,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Finance,2025,Pants on Fire,https://www.politifact.com/factchecks/8318/
144,Breaking: Government introduces policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Fake,https://www.politifact.com/factchecks/2837/
145,Breaking: Company bans law,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Finance,2025,Mostly False,https://www.politifact.com/factchecks/7768/
146,Breaking: Celebrity introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",ConspiracyNews2025.com,World,2025,Fake,https://www.politifact.com/factchecks/9008/
147,Breaking: Government introduces product,"This news article claims that a major event has occurred, but experts have debunked it.",ConspiracyNews2025.com,Entertainment,2025,Fake,https://www.politifact.com/factchecks/9288/
148,Breaking: Celebrity removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,Entertainment,2025,Pants on Fire,https://www.politifact.com/factchecks/3987/
149,Breaking: Celebrity bans policy,"This news article claims that a major event has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/7745/
150,Breaking: Celebrity removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",Unknown Blog,Politics,2025,Mostly False,https://www.politifact.com/factchecks/5804/
151,Breaking: Government removes policy,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Fake,https://www.politifact.com/factchecks/3234/
152,Breaking: Government bans product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Mostly False,https://www.politifact.com/factchecks/2586/
153,Breaking: Government introduces policy,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",MisinfoReport,World,2025,Pants on Fire,https://www.politifact.com/factchecks/3483/
154,Breaking: Celebrity introduces product,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",Unknown Blog,Entertainment,2025,Fake,https://www.politifact.com/factchecks/1536/
155,Breaking: Celebrity introduces policy,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,World,2025,Fake,https://www.politifact.com/factchecks/9169/
156,Breaking: Government removes law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",AltRealityNews,Health,2025,Fake,https://www.politifact.com/factchecks/5593/
157,Breaking: Company removes law,"This news article claims that a major event has occurred, but experts have debunked it.",FalseDaily,Entertainment,2025,Fake,https://www.politifact.com/factchecks/2127/
158,Breaking: Government bans policy,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Climate,2025,Pants on Fire,https://www.politifact.com/factchecks/8093/
159,Breaking: Government removes law,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/5069/
160,Breaking: Celebrity removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",FakeTimes,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/3337/
161,Breaking: Company introduces law,"This news article claims that a scandal has occurred, but experts have debunked it.",MisinfoReport,World,2025,Fake,https://www.politifact.com/factchecks/4156/
162,Breaking: Company bans policy,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/4313/
163,Breaking: Celebrity introduces law,"This news article claims that a scandal has occurred, but experts have debunked it.",AltRealityNews,Finance,2025,Mostly False,https://www.politifact.com/factchecks/6040/
164,Breaking: Company introduces law,"This news article claims that a major event has occurred, but experts have debunked it.",FakeTimes,Technology,2025,Fake,https://www.politifact.com/factchecks/8590/
165,Breaking: Celebrity introduces product,"This news article claims that a major event has occurred, but experts have debunked it.",FalseDaily,Entertainment,2025,Fake,https://www.politifact.com/factchecks/4562/
166,Breaking: Company bans law,"This news article claims that a major event has occurred, but experts have debunked it.",Unknown Blog,Health,2025,Pants on Fire,https://www.politifact.com/factchecks/1496/
167,Breaking: Celebrity bans law,"This news article claims that a new policy has occurred, but experts have debunked it.",FalseDaily,Sports,2025,Mostly False,https://www.politifact.com/factchecks/8555/
168,Breaking: Government removes product,"This news article claims that a new policy has occurred, but experts have debunked it.",AltRealityNews,Sports,2025,Pants on Fire,https://www.politifact.com/factchecks/9098/
169,Breaking: Company introduces law,"This news article claims that a scientific breakthrough has occurred, but experts have debunked it.",ConspiracyNews2025.com,Health,2025,Mostly False,https://www.politifact.com/factchecks/6563/
170,Breaking: Government removes product,"This news article claims that a scandal has occurred, but experts have debunked it.",ConspiracyNews2025.com,Entertainment,2025,Pants on Fire,https://www.politifact.com/factchecks/1710/
